epoch,train_loss,valid_loss,valid_ACC,valid_Precision,valid_Recall,valid_MCC,valid_AUC
1,0.5114832520484924,0.45959484577178955,0.7777089783281734,0.7712492869366799,0.8100659077291792,0.5548994979754923,0.8691755949102391
2,0.43480366468429565,0.48170188069343567,0.7823529411764706,0.8030112923462986,0.7669263031755542,0.5655046499740283,0.8810695775433931
3,0.40242263674736023,0.4877539277076721,0.7925696594427245,0.813953488372093,0.7759137207908927,0.58602856723133,0.8831699042224935
4,0.3759274184703827,0.5492416024208069,0.7814241486068112,0.8264406779661017,0.7303774715398442,0.568202296318594,0.8808699850958178
5,0.35616421699523926,0.5440976619720459,0.7962848297213623,0.8028759736369083,0.8028759736369083,0.5921136417983434,0.8815244180248869
6,0.33911970257759094,0.6667577028274536,0.786687306501548,0.7955367913148371,0.7902935889754344,0.573007782048719,0.873818038474515
7,0.3224537670612335,0.7262909412384033,0.7712074303405573,0.8229166666666666,0.7100059916117436,0.5495795328938735,0.8632762946736836
8,0.30502694845199585,0.856679379940033,0.7746130030959752,0.802572347266881,0.7477531455961653,0.5511566988655027,0.8620117613688051
9,0.2882501780986786,1.0382013320922852,0.7736842105263158,0.8139223560910308,0.7285799880167765,0.5517319350103759,0.8568010550763844
10,0.2749996483325958,0.9813645482063293,0.7724458204334366,0.7783075089392133,0.7825044937088077,0.5443057257036407,0.8573315103889789
