fold,best_epoch,best_val_loss,val_ACC,val_PRE,val_MCC,val_AUC,val_Recall,val_F1,youden_threshold
0,2,0.4767715333879622,0.7713217804960925,0.7886212624584718,0.40609961860949184,0.8155860287313268,0.9205041202132817,0.849474390516663,0.77734375
1,2,0.5558613659047412,0.7057793345008757,0.7690339091490723,0.3319073047492108,0.755677770605466,0.7944481163251818,0.7815344603381015,0.6875
2,1,0.5822829901509521,0.6763005780346821,0.7472021066491112,0.2723149779128869,0.7218171281051605,0.7674104124408384,0.7571714476317545,0.60986328125
3,1,0.5742596633202361,0.7133891213389121,0.767387944358578,0.3602244529323863,0.7389352918586789,0.8008064516129032,0.7837411207576953,0.61865234375
4,3,0.5212069914247577,0.73449401523395,0.7487855655794587,0.3736089349740851,0.7981108205017273,0.8954356846473029,0.8155706727135299,0.58447265625
