fold,epoch,train_loss,val_loss
0,1,0.5762285417107501,0.49015064946129905
0,2,0.5271045580213087,0.4767715333879622
0,3,0.49975910802962886,0.49154038448298093
0,4,0.4629884341640143,0.5112304633120635
0,5,0.422955017259382,0.5652880456034035
1,1,0.5497780082823579,0.575874543492723
1,2,0.49011459105421673,0.5558613659047412
1,3,0.4533568844482473,0.557483567717614
1,4,0.4106457245060593,0.5690997540950775
1,5,0.3590232215853405,0.7076984970143714
2,1,0.53837137711902,0.5822829901509521
2,2,0.4903150047134607,0.592474716657954
2,3,0.45816911946389965,0.6824979827424165
2,4,0.4141346909553128,0.6406906562919031
3,1,0.5459116539884489,0.5742596633202361
3,2,0.49738968267880057,0.5754716143199091
3,3,0.46948523694336963,0.5979000772330053
3,4,0.421993869141029,0.6264080958417519
4,1,0.5541289901804507,0.5284106062078632
4,2,0.506323670269227,0.6267744811886153
4,3,0.4693289568221564,0.5212069914247577
4,4,0.42538961279592874,0.5588397046508545
4,5,0.3735059285461014,0.5909599971524779
4,6,0.32990301511848436,0.6052867668367703
