epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_positive_rate,learning_rate
1,0.5945066029522109,0.6034802956339241,0.6434782608695652,0.7060229445506692,0.2868907569415913,0.6846376811594203,0.0001
2,0.530405379828735,0.62260466757028,0.6469565217391304,0.7007371007371007,0.2910001475792251,0.6515942028985507,0.0001
3,0.47678398735331207,0.6348588545426078,0.652463768115942,0.701963708675118,0.3015784463914716,0.6379710144927536,0.0001
4,0.4102460570427935,0.705914645039517,0.6336231884057971,0.6847880299251871,0.26217321939516225,0.6342028985507246,0.0001
5,0.3395292244772992,0.7532882283735967,0.6333333333333333,0.6835126344758569,0.2614497832865309,0.6304347826086957,0.0001
6,0.27720866668749067,0.9176760212234829,0.623768115942029,0.6857142857142857,0.24320466423746037,0.6689855072463768,0.0001
7,0.20130531459950446,0.9711635072853254,0.6347826086956522,0.6870342771982116,0.26476549170098135,0.638840579710145,5e-05
8,0.16422318419391127,1.105783829766771,0.6301449275362319,0.6867943053510064,0.2557220149682809,0.6527536231884058,5e-05
9,0.14243847949504695,1.1616028101979823,0.6365217391304347,0.6846076458752515,0.2678859278838258,0.6243478260869565,5e-05
10,0.1138907158187327,1.243005242485931,0.6295652173913043,0.6847557967439566,0.2542157825803874,0.6469565217391304,2.5e-05
11,0.10213906815335108,1.2800574584197306,0.6376811594202898,0.6829020801623541,0.27007803150134413,0.6144927536231884,2.5e-05
