epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_positive_rate,learning_rate
1,0.591612694058221,0.6050400890820268,0.6446376811594203,0.7104393008974964,0.29141115280240165,0.6991304347826087,0.0001
2,0.5251718776732741,0.6228460137567658,0.6484057971014493,0.7021851215320403,0.294115223743055,0.652463768115942,0.0001
3,0.4592932025159962,0.654769594202871,0.6434782608695652,0.6986771190592846,0.28394514738236,0.6550724637681159,0.0001
4,0.38230953978828797,0.7356646611725075,0.6371014492753623,0.6839979808177689,0.268988104025671,0.6202898550724638,0.0001
5,0.30450346063550965,0.8072879815792692,0.6266666666666667,0.6815034619188922,0.24802520808220727,0.6440579710144928,0.0001
6,0.2089260397399027,1.010184530624445,0.6246376811594203,0.6899688771845822,0.2461011064772871,0.6826086956521739,5e-05
7,0.16491794951174893,1.0698665705971095,0.6278260869565218,0.6812313803376365,0.2502794779131091,0.6394202898550725,5e-05
8,0.13912632676418124,1.1615731297368588,0.6313043478260869,0.6831091180866966,0.25738911418590815,0.6353623188405797,5e-05
9,0.10309516921368815,1.230250569305558,0.6321739130434783,0.6804331402669352,0.2588648557402004,0.6228985507246377,2.5e-05
10,0.08848012416885986,1.335425010090289,0.6330434782608696,0.682069311903566,0.2607323224133915,0.6260869565217392,2.5e-05
