epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_positive_rate,learning_rate
1,0.58766256131416,0.6018234879383142,0.6457971014492754,0.708909004287756,0.2924249457591586,0.688695652173913,0.0001
2,0.5044902224739259,0.6454980940404146,0.635072463768116,0.698443113772455,0.2684939907751246,0.6820289855072463,0.0001
3,0.40738824063629764,0.6956483531689298,0.6530434782608696,0.7064017660044151,0.30397067193975924,0.6536231884057971,0.0001
4,0.30272658539274444,0.8241926207058672,0.635072463768116,0.6815077156589932,0.2647547750617546,0.6176811594202899,0.0001
5,0.2215135196865924,0.9401688983302185,0.6397101449275362,0.6910265970668655,0.2749988030644095,0.6379710144927536,0.0001
6,0.1660604895074563,1.282302576130715,0.6292753623188406,0.6956935522246015,0.25683916998743134,0.6901449275362319,0.0001
7,0.10311213041671809,1.2966490157790806,0.6420289855072464,0.6939281288723668,0.2800136107390122,0.6414492753623189,5e-05
8,0.07208239279070486,1.5338149475705796,0.6281159420289855,0.6823471156226789,0.2510000508815813,0.6426086956521739,5e-05
9,0.05795079011941845,1.7241984617537347,0.6385507246376811,0.6903402036255277,0.27263628513289107,0.6391304347826087,5e-05
10,0.0406013565038086,1.8215030740309452,0.6402898550724637,0.6890503633174643,0.27582099528902626,0.628695652173913,2.5e-05
11,0.028114107093959534,1.9024328549011893,0.6443478260869565,0.6857874519846351,0.28364012334184546,0.603768115942029,2.5e-05
