epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_positive_rate,learning_rate
1,0.5987869999959189,0.6072974304876466,0.6498550724637682,0.7082125603864734,0.2990494513293079,0.6718840579710145,0.0001
2,0.5427777609033952,0.6172245412460272,0.6495652173913044,0.7005201882586078,0.29579052702482056,0.6420289855072464,0.0001
3,0.501594666987567,0.6268283435399982,0.6550724637681159,0.7052996532937098,0.307317493624512,0.6423188405797101,0.0001
4,0.4525322931740021,0.6593117349389671,0.648695652173913,0.6960882647943831,0.29320764987042935,0.6278260869565218,0.0001
5,0.3944430949103069,0.6894107011262921,0.6431884057971015,0.6896899420216789,0.2815918396328984,0.6217391304347826,0.0001
6,0.3372524416464483,0.7866648179465446,0.6391304347826087,0.697006570941835,0.27537729599865884,0.6628985507246377,0.0001
7,0.2603735174505374,0.8273117451564126,0.6371014492753623,0.6937377690802349,0.2706277153131909,0.6568115942028986,5e-05
8,0.22459937259096482,0.9120362894604171,0.6342028985507246,0.6838677354709419,0.2632109657959033,0.6289855072463768,5e-05
9,0.20210329999177076,0.9948420926280643,0.6324637681159421,0.6876847290640394,0.2603786657961874,0.648695652173913,5e-05
10,0.1724692326840753,1.0188754937268685,0.6321739130434783,0.6848770797119443,0.2593372105679311,0.6391304347826087,2.5e-05
11,0.1567885853731413,1.0458280183094135,0.6373913043478261,0.683210939478349,0.2695135352557902,0.6165217391304347,2.5e-05
