epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_positive_rate,learning_rate
1,0.6039405971637904,0.6118725721386896,0.6394202898550725,0.7050734945471787,0.2793770828750551,0.6944927536231884,0.0001
2,0.5573806085836963,0.6129295546593874,0.6376811594202898,0.6970431410567135,0.2727157733306791,0.6678260869565218,0.0001
3,0.5327338368938083,0.6084476698827053,0.6614492753623188,0.7158150851581508,0.32269951046489725,0.6631884057971015,0.0001
4,0.506238361384353,0.622606029044027,0.6501449275362319,0.7020488768205382,0.29728206126793244,0.6460869565217391,0.0001
5,0.47269682407363506,0.624846828294837,0.6591304347826087,0.7065868263473054,0.315177209109028,0.6336231884057971,0.0001
6,0.43524471584910346,0.6875971055376356,0.6426086956521739,0.7066381156316917,0.28571782709764065,0.6901449275362319,0.0001
7,0.3791383776502719,0.6915048199114592,0.6428985507246376,0.698187163155316,0.28272365712266634,0.6550724637681159,5e-05
8,0.35065534503524903,0.7357681924363841,0.6469565217391304,0.6986640277090549,0.2904316585529019,0.6434782608695652,5e-05
9,0.32842518986977853,0.7736292806570081,0.6431884057971015,0.6977657746133071,0.28314127622555046,0.652463768115942,5e-05
10,0.29804629854105075,0.8015381749125494,0.6365217391304347,0.6971014492753623,0.27060709223360585,0.6718840579710145,2.5e-05
11,0.2851547871148708,0.8220180105644723,0.6382608695652174,0.6929133858267716,0.2726118719843183,0.6498550724637682,2.5e-05
