epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_positive_rate,learning_rate
1,0.5831626581885184,0.5970491078452788,0.6504347826086957,0.7118967988533206,0.3019653957562844,0.6852173913043478,0.0001
2,0.48139907920233244,0.653169839002084,0.6501449275362319,0.7048178038640255,0.2981700945176492,0.6571014492753623,0.0001
3,0.3462032516143509,0.768415023157562,0.6353623188405797,0.6946601941747573,0.26764254487360967,0.6660869565217391,0.0001
4,0.2266661773760137,0.9884415404347406,0.6313043478260869,0.6805625313912607,0.25713220029570083,0.6260869565217392,0.0001
5,0.12289104884842071,1.1911403678292813,0.6376811594202898,0.6846619576185671,0.2701974267656927,0.6208695652173913,5e-05
6,0.07939722590059095,1.5774313738207886,0.6278260869565218,0.6935560859188544,0.25332016312343775,0.6863768115942029,5e-05
7,0.05719181849864132,1.7609942196590314,0.6289855072463768,0.6837944664031621,0.2529246322894013,0.6452173913043479,5e-05
8,0.03826235163048187,1.948969491439453,0.624927536231884,0.6860747210092188,0.24551882645406234,0.6666666666666666,2.5e-05
9,0.024244374961843923,2.0121379463741746,0.6240579710144928,0.6772829061955711,0.2423471190400766,0.6368115942028986,2.5e-05
10,0.019704742679460468,2.1737122340651527,0.6315942028985507,0.6859402026192242,0.25837235536545644,0.644927536231884,2.5e-05
