epoch,train_loss,valid_loss,valid_ACC,valid_Precision,valid_Recall,valid_MCC,valid_AUC
1,0.5403540134429932,0.5006903409957886,0.7510835913312693,0.751015670342426,0.7753145596165368,0.5013331143786729,0.8346929289385634
2,0.482845276594162,0.4995328485965729,0.7578947368421053,0.7547386559448592,0.7872977831036548,0.5150377961960059,0.8445723712619118
3,0.4588579535484314,0.4994925558567047,0.7603715170278638,0.7649496743635287,0.7741162372678251,0.5200476506219801,0.8476741146635582
4,0.4380349814891815,0.49654510617256165,0.7631578947368421,0.7603686635944701,0.7908927501497903,0.5255809167533372,0.8521849039787603
5,0.4177479147911072,0.5036689639091492,0.7643962848297213,0.7651869158878505,0.7849011384062313,0.5280323087584626,0.8520089171764271
6,0.3975057601928711,0.5075114369392395,0.7712074303405573,0.7678571428571429,0.7986818454164171,0.5417343966529085,0.8532968642107328
7,0.3768351972103119,0.5465186834335327,0.7718266253869969,0.7668957617411226,0.8022768124625524,0.543033112293544,0.8498964998009833
8,0.3576437830924988,0.5293815732002258,0.774922600619195,0.7757611241217799,0.7938885560215698,0.5491375378745199,0.8548719173042431
9,0.33789852261543274,0.5509604215621948,0.778328173374613,0.7730659025787966,0.8082684242061114,0.5560792741622057,0.8550306316832283
10,0.31987109780311584,0.5858397483825684,0.7786377708978328,0.7694915254237288,0.8160575194727382,0.5569474705321759,0.8530047683403388
11,0.30013689398765564,0.592067539691925,0.7767801857585139,0.7746234067207416,0.8010784901138406,0.5528780884849328,0.8541873535922226
12,0.2852942943572998,0.6114325523376465,0.778328173374613,0.7715099715099715,0.811264230077891,0.5561612648662765,0.8515916921946687
13,0.26808565855026245,0.6773287653923035,0.7764705882352941,0.7713467048710602,0.8064709406830437,0.5523499235539262,0.8537102508761918
14,0.2527691423892975,0.6890320181846619,0.7718266253869969,0.76905311778291,0.7980826842420611,0.5429604265680303,0.8503989354045911
15,0.2380114495754242,0.7418574094772339,0.765015479876161,0.7527777777777778,0.8118633912522468,0.5299838557081167,0.8449151329074593
