epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_threshold,val_positive_rate,selection_score,learning_rate
1,0.5721955798702839,0.5667171111106872,0.674,0.7003676470588235,0.3535183627643283,0.5,0.588,0.674,0.0001
2,0.4584925588888432,0.6150734823346138,0.66225,0.7030116509122885,0.3374629299369137,0.5,0.63725,0.66225,0.0001
3,0.3130374242106131,0.7168157672286034,0.6615,0.6997782705099779,0.334043113583661,0.5,0.6275,0.6615,0.0001
4,0.20019195567655795,0.9285180684030055,0.64975,0.6778569786157738,0.30416677799762715,0.5,0.58725,0.64975,0.0001
5,0.10796673845176488,1.2181819933578373,0.64525,0.6820524311001569,0.29861181879185,0.5,0.61575,0.64525,5e-05
6,0.06895493248458455,1.4136202085167169,0.65075,0.6778879409730229,0.30587348502952844,0.5,0.58425,0.65075,5e-05
7,0.04843218244237831,1.628527056388557,0.64725,0.673757225433526,0.2984670619426482,0.5,0.58125,0.64725,5e-05
8,0.03088844256195683,1.7463883717712014,0.641,0.6701883325677538,0.28652396953440756,0.5,0.5885,0.641,2.5e-05
9,0.02143554387214664,2.0516885328721255,0.64,0.6808510638297872,0.2896521415867891,0.5,0.628,0.64,2.5e-05
10,0.015885537345299294,2.3236003206255846,0.63225,0.6849432426643821,0.28066764938522376,0.5,0.66725,0.63225,2.5e-05
