epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,val_mcc,lr
1,0.5965385743665457,0.6646876935213805,0.6779372171621699,0.613,0.7528273891300764,0.7034482758620689,0.28520898142115636,0.0001
2,0.5544859986114825,0.6015731159821153,0.7051755742682019,0.684,0.7671812270285553,0.7236554438128553,0.38416144854443746,0.0001
3,0.5350166724354638,0.5755587231032551,0.7194248725439651,0.6935,0.7745350764131835,0.7179015186378279,0.3929245859401527,0.0001
4,0.5256203160964262,0.5809354355651886,0.7244371885203643,0.68325,0.7771523869084844,0.7236641221374046,0.38326175239079674,0.0001
5,0.5185620509273368,0.6810593620017171,0.7298361688720857,0.68925,0.7823076656781177,0.7133963569287526,0.38399042813823053,0.0001
6,0.5102056660087457,0.6603577849352732,0.7354642836684424,0.67725,0.7868107010133185,0.7160765339784473,0.3685521555093432,0.0001
7,0.5030544782203176,0.661531218810007,0.7398751217276737,0.672,0.7877194212654559,0.7051685393258427,0.35305270798406035,0.0001
8,0.4987852648845894,0.5824315892327577,0.7446153405510684,0.7055,0.7914293400077193,0.7055,0.411,0.0001
9,0.48906545110533495,0.6676137199839577,0.750945179584121,0.68075,0.7967177473086229,0.7101021566401816,0.3691479094195167,0.0001
10,0.48078666573494366,0.5993619066439569,0.7555994729907773,0.676,0.7994830219715662,0.7079765660207301,0.36075743775530117,0.0001
11,0.4740939160490411,0.6261505566556007,0.7621298046628859,0.68925,0.8046250117624918,0.7021327582075245,0.3799240119237642,0.0001
12,0.46818551429719696,0.6199734206944704,0.7652804032766226,0.67225,0.8057182143619165,0.7095058719255484,0.3564244542973106,0.0001
13,0.46088401535517515,0.6298953675162047,0.7718680185598901,0.67275,0.8119688385269122,0.7002518891687658,0.35146802910434155,0.0001
14,0.4548307982063225,0.7009869610997849,0.7776679841897233,0.67975,0.8161307514656244,0.7016072676450035,0.36342106978507455,5e-05
15,0.42165999237348056,0.6980819423347712,0.7981755169845907,0.677,0.8334967687054737,0.701340730466944,0.35879854701622155,5e-05
16,0.4037625534985739,0.7728137111589313,0.8096322392163602,0.68175,0.8429595851004761,0.696398759837825,0.3652044146701122,5e-05
17,0.3919226955037882,0.7736174006653018,0.8168642951251647,0.674,0.8485336618183541,0.688782816229117,0.349581059884262,5e-05
18,0.37873037662101827,0.8472963480392937,0.8238672165893338,0.6765,0.8542789777372306,0.6999072356215214,0.3573753264117566,5e-05
19,0.3701877905355372,0.790405776721891,0.8317150713180959,0.66875,0.8605900985870377,0.6971428571428572,0.34359377200692,5e-05
20,0.3593855526260568,0.7744776399303228,0.8371713352809761,0.67425,0.8651597447878371,0.6896880209573708,0.3502380344946221,2.5e-05
21,0.32756988318653474,0.8782467877073213,0.8550867846709057,0.66925,0.880402794029004,0.6874557051736357,0.34082075359994507,2.5e-05
22,0.3137100854088563,0.9660614527123981,0.8628343930801398,0.6725,0.8863577038988159,0.6883920076117983,0.3468088164962009,2.5e-05
23,0.3015871477316727,1.0249528420455754,0.8697227473219912,0.66425,0.8923495651144903,0.6886158126594019,0.33259828988136786,2.5e-05
