metric,group,mean,median,std,min,max,n,mann_whitney_u_p_value_high_vs_low,mann_whitney_u_p_value_positive_vs_low,mann_whitney_u_p_value_negative_vs_low,mann_whitney_u_p_value_positive_vs_negative
neighbor_count,High impact,7.748928877463582,8.0,3.6317916989189927,2.0,18.0,1167,2.9461079710398103e-08,,,
neighbor_count,Low impact,8.547270306258323,8.0,2.924105950274628,2.0,19.0,1502,2.9461079710398103e-08,,,
hydrophobic_count,High impact,3.5955441302485003,3.0,2.405877742045879,0.0,11.0,1167,0.0062725312380104885,,,
hydrophobic_count,Low impact,3.7916111850865515,4.0,2.193469548800192,0.0,11.0,1502,0.0062725312380104885,,,
hydrophobic_ratio,High impact,0.4392077545978953,0.46153846153846156,0.2082040053874042,0.0,1.0,1167,0.008226414423185774,,,
hydrophobic_ratio,Low impact,0.4232684975006617,0.42857142857142855,0.17277563891162012,0.0,1.0,1502,0.008226414423185774,,,
mean_hydrophobicity,High impact,-0.16452501871109163,-0.11250000000000004,1.3081310102876813,-4.2,4.35,1167,0.0016087904434431146,,,
mean_hydrophobicity,Low impact,-0.2995215885197432,-0.25000000000000006,1.1040434853203334,-3.8000000000000003,2.875,1502,0.0016087904434431146,,,
